Date,CPI,Country
Apr-19,255.548,US
Oct-19,257.346,US
Apr-20,256.389,US
Oct-20,260.229,US
1-Apr,276.054,US
Oct-21,276.589,US
Apr-22,289.109,US
Oct-22,298.012,US
Apr-19,180.5,Russia
Oct-19,181.1,Russia
Apr-20,186.1,Russia
Oct-20,188.3,Russia
1-Apr,196.4,Russia
Oct-21,203.6,Russia
Apr-22,231.4,Russia
Oct-22,230.2,Russia
Apr-19,282.7,Ukraine
Oct-19,284.7,Ukraine
Apr-20,288.7,Ukraine
Oct-20,292.1,Ukraine
1-Apr,312.9,Ukraine
Oct-21,323.9,Ukraine
Apr-22,364.2,Ukraine
Oct-22,410.1,Ukraine
Apr-19,105.1,EU
Oct-19,105.44,EU
Apr-20,105.43,EU
Oct-20,105.15,EU
1-Apr,106.53,EU
Oct-21,109.41,EU
Apr-22,115.11,EU
Oct-22,119.26,EU
,,
,,
,,
,,
,,
,,
,,
,,
